the_geom,cartodb_id,iso_langua,north,south,east,west
,1973,brn,11.219201,5.498921,-82.551775,-87.094525
,1974,brm,4.101608,3.11138,27.602199,26.119849
,1975,brl,-20.543318,-34.835011,32.89055,16.4534
,1976,brk,23.15433,8.644438,38.761171,21.815057
,1977,brj,-16.750172,-16.822867,168.306741,168.153801
,1978,bri,4.419118,4.009431,9.398268,9.079959
,1979,brh,42.802734,25.05871,67.250319,44.032308
,1980,brg,-13.076543,-13.177991,-64.124487,-64.227563
,1981,brf,1.762137,1.225625,30.325806,29.732825
,1982,bre,48.887443,47.641055,-2.781783,-4.796889
,1983,brd,28.100096,28.070439,84.687067,84.657388
,1984,brc,8.403393,1.185493,-56.478388,-61.3848
,1985,brb,14.873606,13.843864,107.583595,105.937098
,1986,bra,27.448051,25.71875,78.695671,76.049802
,1987,bwl,5.39197,-2.11139,31.307551,22.290538
,1988,qul,-0.038967,-18.350719,-68.204229,-81.330767
,1989,bwo,11.35085,10.19378,36.2704,35.18022
,1990,tmn,1.171997,0.684128,113.233771,112.912805
,1991,nka,-13.59812,-16.66483,25.79449,22.25431
,1992,nkb,24.300172,24.172408,94.215042,94.118838
,1993,nkc,5.433268,5.266291,9.86954,9.73239
,1994,nkd,25.046683,24.836032,94.06349,93.81962
,1995,nke,-7.841591,-8.126781,157.197834,156.937594
,1996,nkf,24.870574,24.656902,94.067221,93.777602
,1997,nkg,-5.603826,-5.663455,146.295362,146.223635
,1998,nkh,25.770789,25.495332,94.433092,94.11743
,1999,nki,25.235715,24.812039,94.113976,93.651028
,2000,nkj,-4.944946,-5.2812,140.734917,140.290354
,2001,nkk,-14.805167,-15.01582,166.69591,166.541409
,2002,nkm,-8.768123,-8.888511,141.732232,141.548896
,2003,nkn,-13.083852,-13.806625,19.721145,18.365555
,2004,nko,7.303044,7.099364,0.383333,0.255865
,2005,nkq,7.175651,6.970177,0.131355,-0.197207
,2006,nkr,3.870777,3.827871,154.975545,154.952186
,2007,nks,-4.630881,-5.08555,138.954031,137.950751
,2008,nkt,-7.9677,-8.33225,31.94031,31.65387
,2009,nku,11.175842,4.738857,1.200586,-3.446064
,2010,nkv,-9.90163,-10.23076,33.63567,33.16976
,2011,nkw,-2.958235,-4.524154,23.391819,21.9686
,2012,nkx,4.548365,4.541935,7.467009,7.460669
,2013,nkz,5.483884,5.393818,7.836668,7.69024
,2014,tnu,18.733227,18.591563,104.422976,104.311556
,2015,tnt,1.398645,0.700133,125.020265,124.294555
,2016,tnw,1.190667,0.700133,124.781616,124.375288
,2017,tnv,22.611059,22.224787,92.59023,92.023387
,2018,tnq,18.515835,17.882565,-65.220764,-67.946068
,2019,tnp,-19.419448,-19.533657,169.495818,169.269603
,2020,err,-9.219502,-54.779045,159.105026,112.919742
,2021,ers,53.56005,10.37314,134.774065,73.560763
,2022,tny,-5.234127,-6.597782,30.42192,29.743928
,2023,tnx,-5.082571,-12.308285,168.847258,155.512222
,2024,tnz,7.59406,6.621826,100.29205,99.703239
,2025,tnd,6.606217,6.471408,-71.846329,-71.996017
,2026,tng,10.105587,9.249459,16.476029,15.941951
,2027,erg,-18.725604,-18.996299,169.344013,168.985669
,2028,tna,-13.020624,-13.756968,-67.550551,-68.530573
,2029,era,10.947586,10.611106,76.96561,76.736978
,2030,tnc,-0.261005,-0.764212,-70.163499,-70.934844
,2031,tnb,7.155079,6.603278,-72.404539,-72.896821
,2032,tnm,-2.395138,-2.50896,140.5838,140.197119
,2033,tnl,-19.402596,-19.547946,169.300628,169.218554
,2034,tno,-9.669621,-22.943401,-57.420981,-69.643834
,2035,ero,53.56005,10.37314,134.774065,73.560763
,2036,tni,5.907326,-11.009678,141.019444,95.010796
,2037,eri,-5.320881,-5.439123,145.760614,145.66292
,2038,tnk,-19.520459,-19.655971,169.507216,169.382252
,2039,erk,-17.590697,-17.825893,168.595677,168.30695
,2040,uar,-7.881561,-7.974345,145.855197,145.667915
,2041,uam,5.268116,-33.750515,-29.295843,-73.993783
,2042,uan,22.508926,13.910236,107.635705,100.084738
,2043,lal,-0.451978,-1.931372,23.832374,22.894374
,2044,lam,-10.614358,-14.5543,29.574895,26.11167
,2045,lan,10.636353,10.188017,4.505185,4.375244
,2046,lao,83.113167,-55.058167,307.380935,97.343954
,2047,lah,37.083977,23.704593,77.12006,60.873163
,2048,lai,-9.281678,-10.18732,33.61667,32.840129
,2049,laj,2.64991,1.488353,33.74998,32.092856
,2050,lak,9.23348,9.12319,11.32751,11.17671
,2051,lad,45.276375,31.604081,44.817796,15.728732
,2052,lae,33.125408,32.535187,77.603374,76.986898
,2053,laf,10.30897,10.04049,30.950699,30.66385
,2054,lag,-4.28591,-5.409531,36.364951,35.552442
,2055,laa,7.876352,7.357503,123.482224,122.779168
,2056,lac,17.106893,16.934355,-91.279046,-91.56791
,2057,lax,26.432874,25.837443,92.561843,92.008507
,2058,lay,53.56005,10.37314,134.774065,73.560763
,2059,laz,-0.872239,-11.655327,159.4925,140.842088
,2060,lat,41.90839,41.900665,12.458,12.44375
,2061,lau,1.735377,1.588506,127.630977,127.540501
,2062,lav,58.084545,55.674837,28.241356,20.971695
,2063,law,0.711898,-0.503659,120.525533,119.914643
,2064,lap,8.468788,7.362083,16.56582,15.234951
,2065,laq,53.56005,10.37314,134.774065,73.560763
,2066,lar,5.972181,5.908075,-0.026453,-0.095281
,2067,las,11.175842,4.738857,1.805699,-3.258354
,2068,fao,62.396593,54.558951,15.156555,-7.663327
,2069,zea,51.9262,51.385659,4.366728,3.433586
,2070,zeg,-6.920219,-7.163322,146.622928,146.46209
,2071,zeh,53.56005,10.37314,134.774065,73.560763
,2072,zen,17.145347,12.307155,-11.346491,-17.530446
,2073,pjt,-23.960581,-31.585725,134.732206,128.560756
,2074,ssc,-1.166936,-1.62433,34.21917,33.693057
,2075,xgm,-9.219502,-54.779045,159.105026,112.919742
,2076,xgi,-9.219502,-54.779045,159.105026,112.919742
,2077,xgg,-9.219502,-54.779045,159.105026,112.919742
,2078,xgd,-9.219502,-54.779045,159.105026,112.919742
,2079,xgw,-9.219502,-54.779045,159.105026,112.919742
,2080,xgu,-9.219502,-54.779045,159.105026,112.919742
,2081,wgg,-25.14914,-25.86574,137.483659,136.57926
,2082,wga,-9.219502,-54.779045,159.105026,112.919742
,2083,wgb,-10.404326,-10.494049,150.479208,150.388491
,2084,wgo,-0.005219,-0.44274,131.236571,130.597435
,2085,wgi,-5.788997,-6.099544,144.810364,144.531468
,2086,wgu,-9.219502,-54.779045,159.105026,112.919742
,2087,wgy,-9.219502,-54.779045,159.105026,112.919742
,2088,nty,23.22442,22.891308,105.668677,105.198327
,2089,ntx,25.493431,25.048354,95.056067,94.627568
,2090,ntz,33.57546,33.459314,51.965923,51.839218
,2091,ntp,26.789785,26.069911,-107.111798,-107.646846
,2092,ntr,8.058265,7.676627,0.725019,0.444565
,2093,ntu,-10.649304,-10.839209,166.148264,165.749553
,2094,ntw,71.388858,18.909894,293.050802,172.436635
,2095,nti,10.749363,10.611872,-5.184633,-5.265116
,2096,ntk,-1.77594,-2.17939,34.80329,34.1758
,2097,ntj,-23.868212,-27.521761,129.089987,124.977288
,2098,ntm,10.644535,10.29774,1.686465,0.998517
,2099,nto,-0.341882,-2.508875,18.635855,17.427046
,2100,nte,-15.954234,-16.244003,40.110254,39.705259
,2101,ntd,6.07583,5.357601,118.785718,117.439726
,2102,ntg,-9.219502,-54.779045,159.105026,112.919742
,2103,mvp,-3.254196,-3.507162,120.050608,119.691297
,2104,mvq,-4.593144,-4.645552,145.484909,145.431661
,2105,mvr,-1.624803,-1.722875,135.86969,135.714487
,2106,mvs,-1.675039,-1.8102,138.342346,138.247515
,2107,mvt,-15.878421,-15.951653,167.267833,167.173677
,2108,mvu,13.243569,13.083811,20.905501,20.670849
,2109,mvv,4.995557,4.140729,116.871185,115.547468
,2110,mvw,-8.947993,-9.757198,39.732189,39.125844
,2111,mvx,-1.992973,-2.167639,134.412394,134.313426
,2112,mvy,35.687185,34.970291,73.277776,72.773596
,2113,mvz,8.181452,8.011552,38.425089,38.252166
,2114,mva,-3.990199,-4.258604,145.081394,144.956804
,2115,mvb,71.388858,18.909894,293.050802,172.436635
,2116,mvd,-9.345497,-9.492914,119.718459,119.381816
,2117,mve,29.483934,25.382242,73.23253,68.670086
,2118,mvf,53.56005,10.37314,134.774065,73.560763
,2119,mvg,17.359973,17.212436,-97.35827,-97.49863
,2120,mvh,9.89941,9.38937,17.09226,16.89425
,2121,mvi,24.939203,24.637396,125.469979,124.670432
,2122,mvk,-4.310904,-4.594395,143.840836,143.659211
,2123,mvl,-9.219502,-54.779045,159.105026,112.919742
,2124,mvn,-9.557536,-9.64227,150.531604,150.432902
,2125,mvo,-8.182705,-8.833124,158.240964,157.597191
,2126,kif,28.4778,28.358207,83.08471,82.879343
,2127,nbr,9.35661,9.14322,8.54927,8.23511
,2128,nbq,-3.414036,-3.814747,139.136084,138.816845
,2129,nbp,6.37627,6.25563,8.659642,8.45846
,2130,ted,8.551874,4.353066,-6.907054,-11.504782
,2131,tee,20.675995,20.543665,-97.812302,-98.057134
,2132,tef,8.575844,8.192645,93.642517,93.083515
,2133,nbt,28.645879,28.264996,93.531071,93.223882
,2134,tex,4.97323,4.88322,32.72335,32.62487
,2135,ktx,-9.257104,-9.844188,-65.573744,-67.091971
,2136,kty,3.744619,3.371841,25.02612,23.901221
,2137,ktz,-18.173049,-21.861963,22.57365,20.019136
,2138,tey,11.660448,11.27722,29.211678,28.950332
,2139,ktt,-5.244038,-5.397204,140.684379,140.523244
,2140,ktu,-4.108259,-8.130569,18.42237,12.351123
,2141,ktv,16.179842,15.490208,108.069558,107.212074
,2142,ktw,71.388858,18.909894,293.050802,172.436635
,2143,ktp,53.56005,10.37314,134.774065,73.560763
,2144,ktq,21.12224,4.615556,126.605469,116.928413
,2145,kts,-5.6784,-6.437194,141.000004,140.628582
,2146,ktl,39.780992,25.05871,63.333481,44.032308
,2147,ktm,-1.967777,-2.060172,147.099299,146.975101
,2148,ktn,-9.148237,-9.604397,-63.929521,-64.374859
,2149,kto,-2.969642,-3.177745,151.686153,151.391005
,2150,kth,13.551389,12.56085,20.858968,20.025592
,2151,kti,-5.165071,-5.729467,141,140.674006
,2152,ktj,4.694128,4.361607,-7.044003,-7.574971
,2153,ktk,-0.872239,-11.655327,159.4925,140.842088
,2154,ktd,-29.004791,-31.380595,136.925368,134.717629
,2155,kte,28.736372,28.489012,84.871245,84.5698
,2156,ktf,-1.3884,-2.02422,27.942853,27.246979
,2157,ktg,-9.219502,-54.779045,159.105026,112.919742
,2158,kta,15.004941,14.787479,108.385914,108.199982
,2159,ktb,7.52237,7.13482,38.12553,37.356617
,2160,ktc,9.53879,9.45805,11.25914,11.13583
,2161,nbc,26.515156,26.202708,95.131755,94.843063
,2162,nbb,6.15317,5.97882,8.807891,8.64851
,2163,nba,-8.205027,-28.970261,33.712376,11.735279
,2164,ypp,53.56005,10.37314,134.774065,73.560763
,2165,ypz,53.56005,10.37314,134.774065,73.560763
,2166,nbg,35.674742,6.754215,97.412506,68.186466
,2167,ypb,53.56005,10.37314,134.774065,73.560763
,2168,ypa,53.56005,10.37314,134.774065,73.560763
,2169,ypg,53.56005,10.37314,134.774065,73.560763
,2170,yph,53.56005,10.37314,134.774065,73.560763
,2171,nbd,5.39197,-13.459239,31.307551,12.199683
,2172,ypn,53.56005,10.37314,134.774065,73.560763
,2173,ypo,53.56005,10.37314,134.774065,73.560763
,2174,ypm,53.56005,10.37314,134.774065,73.560763
,2175,hrx,-17.498348,-55.979633,-50.679115,-109.450833
,2176,hrz,39.780992,25.05871,63.333481,44.032308
,2177,hru,27.478721,27.264145,92.901816,92.603475
,2178,hrt,42.104781,35.814228,44.817796,25.665383
,2179,hrw,-3.995026,-4.139426,153.745061,153.568827
,2180,hrv,83.110626,-55.058167,179.778488,-179.14125
,2181,hrp,-9.219502,-54.779045,159.105026,112.919742
,2182,hrm,53.56005,10.37314,134.774065,73.560763
,2183,hro,13.494284,12.938984,109.125281,108.865657
,2184,ogc,5.36469,5.158813,6.66457,6.413324
,2185,hrk,-3.510072,-3.635724,128.576128,128.398445
,2186,hre,15.096594,14.410962,108.892202,108.496159
,2187,udm,58.546387,40.568583,87.316531,22.138466
,2188,hra,25.382533,25.145699,93.318287,93.045915
,2189,hrc,-3.35859,-3.545283,153.342665,153.171219
